ID_REF,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333,mean,std
YER037W,0.181611806,0.336416185,0.364358664,0.345331848,0.380471408,0.556644857,0.642470181,0.783699095,0.268765152,0.301569521,0.239726037,0.136040598,0.184845015,0.360227287,0.373589128,0.43264842,0.472686768,0.761224449,0.811931252,0.927645802,0.167999998,0.166838318,0.091201715,0.12214499,0.206349209,0.423668623,0.376696825,0.50709939,0.61570245,0.73004204,0.588364422,0.462299138,0.139560446,0.126968503,0.123356916,0.158713683,0.385247504,0.225932378
YER038C,0.023836549,0.026589595,0.076049939,0.044994377,0.144781142,0.063180827,0.073672801,0.125391856,0.226392269,0.103139013,0.062785387,0.039593909,0.006888635,0.051136367,0.04288939,0.074200913,0.057971012,0.118367352,0.100101106,0.163066953,0.010285714,0.035015449,0.021459227,0.028798413,0.023199024,0.073372781,0.065610863,0.096348889,0.079545453,0.131302521,0.077936336,0.114956737,0.027472528,0.064960629,0.044489384,0.032157674,0.07088725,0.046742424
YER039C,1.446084023,1.804624319,2.158910275,1.932508469,2.484848499,2.359477282,2.529793978,2.142110825,0.359564185,1.338565111,0.924657524,1.045685291,1.781859994,1.472727418,1.799096942,2.038812876,1.793756962,1.96938777,1.794742107,0.994600415,1.426285744,1.221421123,1.245708108,1.100297928,1.352869391,2.079289913,1.837104082,1.488843918,1.726239681,2.044117689,2.059275627,0.425216317,1.272527575,0.886811018,0.864509583,0.946057975,1.559677498,0.539423225
YER040W,0.93757093,0.901734114,0.754824042,0.767154098,0.940516353,1.212418318,1.102925181,1.170323968,1.006053329,0.885650277,0.712328792,1.048730969,0.758897841,0.850000083,0.966139913,0.96347034,0.752508342,1.636734605,1.227502465,0.90712744,0.837714314,1.01029861,0.789699554,0.976166904,0.621489644,0.836686373,1.148190022,1.006085157,1.235537171,1.372899175,1.114160299,0.603213787,0.692307711,0.955708623,0.845298231,0.878630638,0.956297156,0.212085241
YER041W,0.610669672,0.448554903,0.52553916,0.392575949,0.360269368,0.503268003,0.465872139,0.609195411,0.369249403,0.474215269,0.610730588,0.401015222,0.370838135,0.352272749,0.344243795,0.479452074,0.404682279,0.439795882,0.357937306,0.473002136,0.505142868,0.442842424,0.418454945,0.609731913,0.413919449,0.497041434,0.404977381,0.455375284,0.330578506,0.357142866,0.517014265,0.519159436,0.480219811,0.361220479,0.327603638,0.357883811,0.444213554,0.082337854
YER042W,7.458569527,6.554913044,7.876277447,7.642295361,6.4534235,7.813725471,7.516792774,7.596656322,5.836562157,9.065022469,7.674657345,6.854822159,6.25143528,5.942045689,7.913092136,8.027397156,9.429208755,9.609183311,8.499493599,7.88228941,7.726856709,6.075180531,5.790772438,5.96524334,7.894993782,7.362130165,9.378959656,9.760649681,9.840909004,9.492647171,6.569704056,6.077873707,8.04285717,5.263779163,6.229524136,6.422198772,7.494226178,1.272100737
YER043C,21.65607262,10.95838165,7.25652647,6.834645748,5.367003918,4.508714676,4.651137352,7.454545975,23.31477165,13.38565063,17.23401833,16.0263958,18.83122826,9.230682373,8.732505798,7.6883564,5.292084694,5.362244606,5.728007793,15.38012886,14.16457176,12.0432539,16.5032177,17.77457809,24.9133091,11.10059166,7.961538315,6.403651714,4.220041275,3.859243631,6.474204063,16.81458664,13.25714302,11.83464622,16.48230362,18.83402443,11.59816691,5.849661609
YER044C,10.13734341,10.47398853,6.869466782,7.457818031,7.777778149,7.617646694,6.208016872,5.772205353,2.746973276,6.488789558,7.147260189,7.523857594,7.531573296,10.85795498,8.303611755,7.921233177,9.756967545,8.445918083,6.891809464,4.941684723,6.524571419,5.177136898,7.068669319,7.100297928,12.52503109,13.10177517,9.693439484,9.225152016,8.589876175,9.207983017,7.937431335,3.10506773,7.184615612,4.998031139,6.901920319,8.268671036,7.70782131,2.174111742
YER044C-A,0.064699203,0.005780347,0.007945516,0.013498314,0.007856341,0.003267974,0.094257846,0.057471264,0.154963687,0.007847534,0.031963471,0.008121828,0.063145816,0.048863638,0.027088037,0.013698631,0.008918618,0.003061224,0.006066734,0.061555073,0.005714286,0.008238929,0.002145923,0.004965243,0.029304031,0.028402368,0.022624435,0.004056796,0.04442149,0.024159664,0.006586169,0.111248448,0.003296704,0.018700788,0.016177958,0.053941902,0.029834895,0.034110346
YER002W,0.552780926,0.522543371,0.952326953,1.683914542,1.635241389,1.942265868,1.90899229,2.717868567,11.35472202,1.677130222,2.4383564,2.652791739,1.494833589,1.031818271,1.639954805,1.852739811,1.996655583,1.973469257,2.252780437,8.781857491,2.516571283,1.734294415,2.7982831,2.587884903,1.427350521,0.756213069,0.880090535,1.432048678,1.880165219,2.07668066,2.575192213,11.08899784,2.302197933,1.687992096,2.832153559,2.650414705,2.563599285,2.468536917
